Security Id,Security Code
ABB,500002
AEGISLOG,500003
AMARAJABAT,500008
AMBALALSA,500009
HDFC,500010
ANDHRAPET,500012
ANSALAPI,500013
UTIQUE,500014
ARUNAHTEL,500016
BOMDYEING,500020
ASIANHOTNR,500023
ATUL,500027
ATVPR,500028
BAJAJELEC,500031
BAJAJHIND,500032
FORCEMOT,500033
BAJFINANCE,500034
BALRAMCHIN,500038
BANCOINDIA,500039
CENTURYTEX,500040
BANARISUG,500041
BASF,500042
BATAINDIA,500043
BEML,500048
BEL,500049
BEPL,500052
BIHSPONG,500058
BIRLACABLE,500060
BLUESTARCO,500067
DISAQ,500068
BNKCAP,500069
BPL,500074
OAL,500078
CENTEXT,500083
CESC,500084
CHAMBLFERT,500085
EXIDEIND,500086
CIPLA,500087
DICIND,500089
CRISIL,500092
CGPOWER,500093
DABUR,500096
DALMIASUG,500097
ARVIND,500101
BHEL,500103
HINDPETRO,500104
IFCI,500106
MTNL,500108
MRPL,500109
CHENNPETRO,500110
RELCAPITAL,500111
SBIN,500112
SAIL,500113
TITAN,500114
IDBI,500116
DCW,500117
DHAMPURSUG,500119
DIAMINESQ,500120
ELANTAS,500123
DRREDDY,500124
EIDPARRY,500125
PGHL,500126
ELECTCAST,500128
ESABINDIA,500133
EPL,500135
ESTER,500136
FGP,500142
PHCAP,500143
FINCABLES,500144
COCKERILL,500147
UFLEX,500148
FOSECOIND,500150
GOLDENTOBC,500151
GANESHBE,500153
METROGLOBL,500159
GTL,500160
GODFRYPHLP,500163
GODREJIND,500164
KANSAINER,500165
GOODRICKE,500166
GOODYEAR,500168
GTNINDS,500170
GHCL,500171
GFLLIMITED,500173
HCL-INSYS,500179
HDFCBANK,500180
HEROMOTOCO,500182
HFCL,500183
HSCL,500184
HCC,500185
HINDOILEXP,500186
HSIL,500187
HINDZINC,500188
NXTDIGITAL,500189
HMT,500191
PRAGBOS,500192
HLVLTD,500193
IGPL,500199
INDIAGLYCO,500201
INDLEASE,500202
MARGOFIN,500206
INDORAMA,500207
INFY,500209
INGERRAND,500210
INSILCO,500211
ITHL,500213
IONEXCHANG,500214
ATFL,500215
JISLJALEQS,500219
JASCH,500220
JCTLTD,500223
JINDALPOLY,500227
JSWSTEEL,500228
UMANGDAIR,500231
KAJARIACER,500233
KAKATCEM,500234
KSL,500235
KANELIND,500236
WHIRLPOOL,500238
KGDENIM,500239
KINETICENG,500240
KIRLOSBROS,500241
KIRLOSIND,500243
KIRLFER,500245
ENVAIREL,500246
KOTAKBANK,500247
KRIFILIND,500248
KSB,500249
LGBBROSLTD,500250
TRENT,500251
LAXMIMACH,500252
LICHSGFIN,500253
LUPIN,500257
LYKALABS,500259
RAMCOCEM,500260
MAFATIND,500264
MAHSEAMLES,500265
MAHSCOOTER,500266
MAJESAUT,500267
MANALIPETC,500268
MFSL,500271
MIDINDIA,500277
MIRCELECTR,500279
CENTENKA,500280
LORDSCHLO,500284
SPICEJET,500285
MOREPENLAB,500288
MRF,500290
HEIDELBERG,500292
NCC,500294
VEDL,500295
NAHARSPING,500296
NATPEROX,500298
GRASIM,500300
PEL,500302
NIITLTD,500304
JAYKAY,500306
NIRLON,500307
ONGC,500312
OILCOUNTUB,500313
ORIENTHOT,500314
OSWALAGRO,500317
INDSUCR,500319
RELIANCE,500325
PILITA,500327
RAYMOND,500330
PIDILITIND,500331
PIXTRANS,500333
BIRLACORPN,500335
SURYAROSNI,500336
PRIMESECU,500337
PRSMJOHNSN,500338
RAIN,500339
AMJLAND,500343
PUNJCOMMU,500346
RSWM,500350
RAJSREESUG,500354
RALLIS,500355
RAMANEWS,500356
RAPICUT,500360
WELSPLSOL,500365
ROLTA,500366
RUBFILA,500367
RUCHISOYA,500368
SALORAINTL,500370
JINDALSAW,500378
JKLAKSHMI,500380
SHREECEM,500387
SKPMIL,500388
RELINFRA,500390
TATAPOWER,500400
SPMLINFRA,500402
SUNDRMFAST,500403
SUNFLAG,500404
SUPPETRO,500405
SWARAJENG,500407
TATAELXSI,500408
ACC,500410
THERMAX,500411
TIRUMALCHM,500412
THOMASCOOK,500413
TIMEX,500414
TOKYOPLAST,500418
TORNTPHARM,500420
TRANSCHEM,500422
AMBUJACEM,500425
UTLINDS,500426
UNIPHOS,500429
VHL,500439
HINDALCO,500440
WSTCSTPAPR,500444
HOCL,500449
MPILCORPL,500450
PASUPTAC,500456
KORE,500458
PGHH,500459
MUKANDLTD,500460
BBOX,500463
UCALFUEL,500464
HARRMALAYA,500467
FEDERALBNK,500469
TATASTEEL,500470
SKFINDIA,500472
ASHOKLEY,500477
CUMMINSIND,500480
TATACOMM,500483
ABBOTINDIA,500488
BAJAJHLDNG,500490
BHARATFORG,500493
ESCORTS,500495
HINDMOTORS,500500
LT,500510
M&M,500520
BOSCHLTD,500530
PREMIER,500540
