ABB,Capital Goods
AEGISLOG,Oil & Gas
AMARAJABAT,Automobiles & Auto Components
AMBALALSA,Pharmaceuticals & Biotechnology
HDFC,Other Financial Services
ANDHRAPET,Chemicals & Petrochemicals
ANSALAPI,Realty
UTIQUE,Other Financial Services
ARUNAHTEL,"Hotels, Restaurants & Tourism"
BOMDYEING,"Textiles, Apparels & Accessories"
ASIANHOTNR,"Hotels, Restaurants & Tourism"
ATUL,Chemicals & Petrochemicals
ATVPR,Capital Goods
BAJAJELEC,Consumer Durables
BAJAJHIND,"Food, Beverages & Tobacco"
FORCEMOT,Automobiles & Auto Components
BAJFINANCE,Other Financial Services
BALRAMCHIN,"Food, Beverages & Tobacco"
BANCOINDIA,Automobiles & Auto Components
CENTURYTEX,Forest Materials
BANARISUG,"Food, Beverages & Tobacco"
BASF,Chemicals & Petrochemicals
BATAINDIA,"Textiles, Apparels & Accessories"
BEML,Capital Goods
BEL,Capital Goods
BEPL,Chemicals & Petrochemicals
BIHSPONG,Metals & Mining
BIRLACABLE,Capital Goods
BLUESTARCO,Consumer Durables
DISAQ,Capital Goods
BNKCAP,Other Financial Services
BPL,Consumer Durables
OAL,Chemicals & Petrochemicals
CENTEXT,Metals & Mining
CESC,Utilities
CHAMBLFERT,Chemicals & Petrochemicals
EXIDEIND,Automobiles & Auto Components
CIPLA,Pharmaceuticals & Biotechnology
DICIND,Chemicals & Petrochemicals
CRISIL,Other Financial Services
CGPOWER,Capital Goods
DABUR,Household & Personal Products
DALMIASUG,"Food, Beverages & Tobacco"
ARVIND,"Textiles, Apparels & Accessories"
BHEL,Capital Goods
HINDPETRO,Oil & Gas
IFCI,Other Financial Services
MTNL,Telecom Services
MRPL,Oil & Gas
CHENNPETRO,Oil & Gas
RELCAPITAL,Other Financial Services
SBIN,Banks
SAIL,Metals & Mining
TITAN,"Textiles, Apparels & Accessories"
IDBI,Banks
DCW,Chemicals & Petrochemicals
DHAMPURSUG,"Food, Beverages & Tobacco"
DIAMINESQ,Chemicals & Petrochemicals
ELANTAS,Chemicals & Petrochemicals
DRREDDY,Pharmaceuticals & Biotechnology
EIDPARRY,"Food, Beverages & Tobacco"
PGHL,Pharmaceuticals & Biotechnology
ELECTCAST,General Industrials
ESABINDIA,Capital Goods
EPL,General Industrials
ESTER,General Industrials
FGP,Other Financial Services
PHCAP,Commercial Services & Supplies
FINCABLES,Capital Goods
COCKERILL,Capital Goods
UFLEX,General Industrials
FOSECOIND,Chemicals & Petrochemicals
GOLDENTOBC,"Food, Beverages & Tobacco"
GANESHBE,Chemicals & Petrochemicals
METROGLOBL,Forest Materials
GTL,Telecom Services
GODFRYPHLP,"Food, Beverages & Tobacco"
GODREJIND,"Food, Beverages & Tobacco"
KANSAINER,Consumer Durables
GOODRICKE,"Food, Beverages & Tobacco"
GOODYEAR,Automobiles & Auto Components
GTNINDS,"Textiles, Apparels & Accessories"
GHCL,Chemicals & Petrochemicals
GFLLIMITED,Other Financial Services
HCL-INSYS,Hardware Technology & Equipment
HDFCBANK,Banks
HEROMOTOCO,Automobiles & Auto Components
